"TimeSpan","BlueTeam.min","RedTeam.min","OppositeTeam.min","BlueTeam.median","RedTeam.median","OppositeTeam.median","BlueTeam.max","RedTeam.max","OppositeTeam.max"
278,8.8,41.8,34.8,60.3,67.05,92.5,110.5,87.7,144.9
279,9.6,44.5,36.7,66,65.95,89.45,114.6,92.8,140.1
280,7.2,45.2,35.5,69.85,68.85,87,114.2,94.2,134.5
281,5.3,46.2,36.1,67.25,69.95,84.45,113.2,97.1,127.7
282,8.4,48,36.1,64,66.75,82.5,112.7,100.2,125.3
283,13.1,34.7,33.8,61.7,65.35,80.6,111,102,126
284,14.8,35.2,28.4,62,62.65,77.6,106.2,100.3,125
285,12.7,35.3,21.7,62.75,61.65,69.7,103.7,103.2,125
286,12.6,35.4,16.7,62.3,60.9,69.9,102.8,108,126.1
287,13.7,34,12,60,60.15,66.4,101.6,105.9,118.5
288,15.9,25.8,7.3,58.25,58,64,101,103.9,111.3
289,16.3,19.9,6.7,55.2,56,59.7,100.4,103,110.8
290,15.1,17.1,5.7,53.5,52.85,59.6,100.2,105.2,110.3
291,17,18.9,10.1,52,49.05,60.3,100.9,107.6,109.9
292,12.9,16.5,6.4,53.7,48.25,55.7,103.2,112.7,109.4
293,10.6,7.2,9.9,51.4,47.85,52,103.8,114.7,109
294,11,7.6,16.5,48.95,47.05,47.5,105.4,112.9,108.6
295,12.6,6.7,16.2,45.3,47.9,42.3,102.5,114.3,108.1
296,15.2,3.6,15.3,44.75,48,47.6,100,119.4,107.7
297,17.4,3.8,7.9,44.25,47.15,43.6,98.2,121.7,106.6
298,19.1,5.7,4.5,44.8,48.4,42,96.9,126.1,105.6
299,20.3,4.1,2.2,44.05,46.45,40.7,94.1,122.5,101.6
300,17,2.8,1,44.5,44.1,41.5,91,124.7,97.3
301,19,5,1,41.5,46.45,42.2,83,126.8,94.3
302,17.5,5.4,3,37.7,45.35,43,74.9,125.5,90.7
303,11.9,11.7,3.9,32.95,46.25,42.1,66.7,123.8,86.7
304,7.3,8.2,3.9,29.8,47.2,41.8,61.1,123.9,84.9
305,3.2,4,4.6,27.45,47.9,42.8,57.6,124,85
306,2.2,1.7,2,22.5,50.85,37.9,51.7,124.2,84.2
307,3.5,5,1.2,18.65,52.25,30.1,45.8,123.6,83.4
308,5.2,10,1,16.05,54.05,23.8,39.9,121.8,82.7
309,6.2,6.5,3.8,14,58.65,21.4,34.2,122.8,82.6
310,2,7.2,2,10.3,59.25,20.6,28.6,124.5,85.7
311,2.8,17.4,4.1,10.9,68.9,38.15,26.9,127.5,91.4
312,3.2,18.3,8.1,12.7,70.1,35.05,26.5,132.2,98.7
313,8.5,21.3,6.1,15.35,68.75,31.35,27,131.1,102.3
